transaction_amount,merchant_category,transaction_hour,day_of_week,is_weekend,customer_age,account_age_days,previous_transactions_day,average_transaction_amount,credit_limit,amount_vs_average_ratio,time_since_last_transaction,location_risk_score,is_fraud
13.31,5,9,5,1,61,433,3,10.0,500.0,1.33,3.1,13.3,0
53.89,19,0,1,0,25,98,2,10.0,500.0,5.39,6.3,17.8,0
3.54,9,22,4,0,45,302,0,23.38,500.0,0.15,13.2,14.1,0
10.91,16,21,6,1,28,224,0,20.55,500.0,0.53,17.1,21.7,0
117.89,3,17,6,1,40,283,3,10.0,500.0,11.79,0.3,49.0,0
145.77,3,7,6,1,32,610,2,61.35,500.0,2.38,4.8,22.7,0
36.1,13,1,6,1,48,468,0,10.0,500.0,3.61,48.6,35.0,0
16.5,10,23,5,1,65,35,3,10.0,500.0,1.65,20.3,31.5,0
45.7,12,7,2,0,28,119,1,69.47,755.19,0.66,24.3,20.2,0
36.36,7,5,1,0,46,100,1,36.63,529.12,0.99,2.9,16.0,0
8.84,17,5,0,0,62,583,1,10.0,500.0,0.88,7.4,5.4,0
14.06,8,10,3,0,47,979,1,16.74,500.0,0.84,0.4,25.5,0
2.62,6,19,5,1,34,375,0,10.0,500.0,0.26,3.4,18.3,0
65.34,16,22,0,0,38,176,3,10.0,500.0,6.53,47.7,14.7,0
133.27,1,15,2,0,41,1022,0,19.08,500.0,6.98,10.0,2.3,0
16.51,18,14,1,0,32,30,5,10.0,500.0,1.65,1.0,9.3,0
37.06,7,3,0,0,47,493,3,13.4,500.0,2.77,20.0,27.2,0
232.68,16,3,3,0,20,245,2,16.98,500.0,13.7,8.3,9.6,0
12.47,18,8,4,0,68,647,0,13.84,500.0,0.9,19.3,8.3,0
59.92,4,8,3,0,71,772,2,11.48,500.0,5.22,23.2,37.4,0
35.59,0,6,1,0,45,786,0,10.0,500.0,3.56,31.9,13.9,0
2.82,11,10,4,0,41,639,2,14.52,500.0,0.19,5.4,12.1,0
201.18,14,7,3,0,18,262,1,12.26,500.0,16.41,14.4,18.4,0
12.78,2,9,5,1,20,203,0,10.0,500.0,1.28,0.1,10.6,0
2.05,19,12,4,0,35,705,2,38.98,580.04,0.05,38.7,50.8,0
34.83,8,16,4,0,61,31,3,10.0,500.0,3.48,4.5,2.5,0
1.0,19,5,5,1,56,70,1,51.88,500.0,0.02,35.2,22.7,0
1.0,9,8,6,1,29,87,0,13.63,500.0,0.07,8.5,12.3,0
22.09,9,23,4,0,51,478,0,68.09,706.66,0.32,10.9,8.8,0
40.56,1,18,4,0,57,2,2,12.53,500.0,3.24,15.3,4.4,0
19.88,14,4,3,0,63,687,3,12.85,500.0,1.55,16.9,32.1,0
9.53,17,4,1,0,18,1302,1,10.0,500.0,0.95,2.4,7.9,0
43.11,5,11,2,0,18,237,2,12.91,500.0,3.34,22.7,3.5,0
89.94,11,9,2,0,48,289,2,10.0,500.0,8.99,9.9,12.5,0
22.81,1,9,6,1,75,209,4,10.0,500.0,2.28,8.0,15.7,0
30.45,6,8,1,0,37,2,3,10.0,500.0,3.04,0.3,9.7,0
2.88,16,3,6,1,45,305,3,10.0,500.0,0.29,1.2,37.2,0
2.89,2,3,1,0,49,1096,5,12.72,500.0,0.23,10.0,7.7,0
91.94,4,11,1,0,52,820,3,51.17,717.3,1.8,24.2,28.8,0
49.26,3,9,1,0,38,43,6,113.5,994.34,0.43,0.2,35.7,0
85.11,14,5,5,1,25,152,1,10.0,500.0,8.51,1.0,27.3,0
8.82,0,16,4,0,42,98,5,82.61,1497.89,0.11,3.0,33.6,0
15.15,8,21,6,1,32,407,1,10.0,500.0,1.52,1.1,9.0,0
261.08,7,2,5,1,18,1478,5,10.0,500.0,26.11,3.5,50.7,0
25.99,11,20,1,0,56,271,5,10.0,500.0,2.6,3.9,28.4,0
77.2,15,10,4,0,32,380,3,13.67,500.0,5.65,0.9,26.7,0
17.36,10,9,0,0,22,267,1,10.0,500.0,1.74,3.2,30.9,0
146.08,0,6,1,0,53,592,2,10.0,500.0,14.61,1.4,35.2,0
220.39,8,14,1,0,47,39,3,10.0,500.0,22.04,12.4,35.1,0
335.44,11,11,1,0,40,85,1,14.64,500.0,22.91,0.8,9.8,0
106.13,18,2,3,0,40,91,2,19.41,500.0,5.47,12.7,24.4,0
2.99,5,7,4,0,29,2113,1,10.77,500.0,0.28,4.3,5.1,0
5.07,4,18,6,1,42,1041,0,10.0,500.0,0.51,17.5,12.7,0
67.26,5,1,4,0,68,23,1,10.0,500.0,6.73,6.6,22.3,0
1.0,14,13,2,0,18,133,0,10.0,500.0,0.1,23.6,16.8,0
20.48,7,12,2,0,24,1,1,10.0,500.0,2.05,28.5,16.5,0
10.79,8,8,5,1,48,178,1,12.4,500.0,0.87,12.9,12.1,0
46.92,7,11,3,0,30,312,0,10.0,500.0,4.69,4.7,11.7,0
7.15,0,12,3,0,41,13,2,10.0,500.0,0.72,18.6,5.8,0
107.89,17,9,5,1,47,160,0,55.67,1027.1,1.94,13.6,34.4,0
169.62,5,22,3,0,20,14,1,10.0,500.0,16.96,2.8,25.0,0
2.49,7,4,4,0,22,381,3,39.72,500.0,0.06,11.2,31.2,0
1.67,7,9,6,1,35,127,1,45.6,500.0,0.04,12.1,9.0,0
3.15,10,21,5,1,60,131,3,23.78,500.0,0.13,8.3,17.8,0
4.26,1,12,3,0,26,288,2,11.72,500.0,0.36,7.2,15.3,0
1.0,17,8,3,0,18,157,1,10.0,500.0,0.1,2.1,19.4,0
106.23,6,19,2,0,33,309,3,14.57,500.0,7.29,13.5,24.7,0
81.6,7,16,5,1,39,713,1,10.02,500.0,8.14,2.7,15.3,0
10.85,9,3,2,0,18,542,3,14.41,500.0,0.75,14.6,8.5,0
15.95,6,22,0,0,43,14,1,10.0,500.0,1.6,10.5,17.6,0
2.74,9,11,1,0,25,73,1,15.16,500.0,0.18,0.5,5.3,0
14.83,7,14,4,0,49,593,2,10.0,500.0,1.48,18.7,17.7,0
1.16,11,14,1,0,20,258,1,10.0,500.0,0.12,6.0,43.0,0
4.04,2,18,3,0,42,446,2,10.0,500.0,0.4,9.8,29.3,0
17.73,2,8,6,1,28,460,3,103.37,1430.03,0.17,1.5,14.7,0
21.45,6,5,5,1,45,106,0,112.39,1899.22,0.19,33.2,5.6,0
11.15,8,16,0,0,47,973,0,10.0,500.0,1.12,3.2,35.8,0
82.29,3,23,5,1,40,352,4,10.0,500.0,8.23,20.1,22.6,0
117.51,3,5,4,0,20,1009,3,11.16,500.0,10.53,23.7,24.2,0
50.48,18,19,2,0,46,86,1,10.0,500.0,5.05,30.9,22.1,0
13.5,18,9,5,1,49,1,2,10.0,500.0,1.35,12.2,8.4,0
28.7,16,19,2,0,22,354,5,24.83,500.0,1.16,4.4,5.8,0
25.19,1,17,3,0,57,337,4,10.0,500.0,2.52,16.4,21.9,0
1.0,3,18,4,0,57,461,2,10.0,500.0,0.1,10.2,10.4,0
7.37,13,19,5,1,46,37,2,41.08,500.0,0.18,36.1,4.9,0
11.54,4,6,4,0,18,186,4,13.42,500.0,0.86,5.1,28.6,0
10.79,0,19,0,0,34,360,1,53.88,940.74,0.2,28.6,8.1,0
91.49,3,16,4,0,55,122,2,16.95,500.0,5.4,9.7,7.2,0
104.75,11,21,5,1,26,1063,5,10.0,500.0,10.48,3.2,40.8,0
4.09,14,18,0,0,80,1203,2,10.0,500.0,0.41,13.1,3.3,0
21.8,4,5,3,0,35,41,0,20.45,500.0,1.07,23.0,4.7,0
4.02,11,23,2,0,57,94,5,35.14,519.9,0.11,3.7,42.8,0
19.77,15,19,5,1,21,96,2,10.0,500.0,1.98,15.9,11.9,0
110.49,3,5,1,0,51,11,2,13.68,500.0,8.08,5.4,13.4,0
16.05,6,19,5,1,35,355,3,54.21,984.58,0.3,9.0,60.8,0
43.82,6,17,3,0,24,3,1,15.63,500.0,2.8,48.0,3.0,0
41.41,16,10,5,1,60,109,1,10.0,500.0,4.14,3.7,18.7,0
85.14,10,8,2,0,19,607,2,43.37,500.0,1.96,0.2,11.8,0
27.05,19,8,5,1,19,471,3,14.44,500.0,1.87,11.8,8.8,0
9.8,17,22,2,0,31,145,2,36.63,607.03,0.27,13.2,34.5,0
51.76,4,16,0,0,69,104,2,38.2,500.0,1.35,42.5,19.5,0
15.29,2,14,5,1,44,53,3,11.92,500.0,1.28,3.4,8.5,0
50.98,9,10,4,0,37,109,2,10.0,500.0,5.1,7.5,14.3,0
13.68,16,17,4,0,35,1058,2,23.2,500.0,0.59,2.4,1.6,0
22.14,19,4,2,0,57,740,1,49.26,756.03,0.45,7.2,19.7,0
50.72,11,22,4,0,43,34,2,10.0,500.0,5.07,26.2,9.8,0
1.11,13,2,1,0,47,1663,0,21.14,500.0,0.05,11.2,20.2,0
2.05,6,8,3,0,65,195,0,30.06,500.0,0.07,14.2,41.6,0
5.67,0,1,4,0,35,50,3,10.0,500.0,0.57,9.1,5.9,0
6.94,10,13,1,0,37,122,3,10.0,500.0,0.69,2.2,19.1,0
29.34,11,8,2,0,28,296,1,10.0,500.0,2.93,4.1,7.7,0
3.92,3,19,3,0,34,1078,2,73.91,1202.23,0.05,8.5,6.4,0
156.99,12,12,1,0,18,197,5,11.26,500.0,13.94,0.8,21.0,0
7.37,13,12,4,0,29,511,3,181.08,1087.11,0.04,13.5,26.1,0
36.1,7,6,1,0,28,430,2,45.35,648.37,0.8,14.4,14.1,0
6.11,7,15,0,0,29,643,3,15.97,500.0,0.38,8.4,47.9,0
46.47,2,0,1,0,29,50,2,10.0,500.0,4.65,6.8,11.7,0
1.0,14,21,6,1,34,336,1,10.0,500.0,0.1,16.4,27.3,0
46.16,7,14,4,0,48,633,0,10.7,500.0,4.31,4.5,5.7,0
11.97,15,17,6,1,43,31,2,24.19,500.0,0.49,24.7,16.3,0
66.25,7,17,5,1,44,465,2,15.76,500.0,4.2,6.8,31.3,0
15.81,6,11,6,1,53,157,1,10.0,500.0,1.58,7.7,16.5,0
61.82,9,12,1,0,35,491,2,29.28,500.0,2.11,12.4,9.1,0
3.85,3,6,5,1,18,177,2,18.17,500.0,0.21,5.4,38.7,0
2.29,14,5,1,0,41,44,1,10.0,500.0,0.23,19.2,4.7,0
16.62,4,17,4,0,20,221,4,10.0,500.0,1.66,1.9,33.9,0
144.03,6,19,2,0,26,66,7,10.0,500.0,14.4,8.3,35.8,0
8.04,16,18,0,0,38,127,2,11.5,500.0,0.7,20.8,10.6,0
17.22,14,5,5,1,18,203,3,33.62,500.0,0.51,25.9,28.9,0
1.0,2,7,0,0,18,59,3,93.91,896.6,0.01,6.9,20.6,0
56.44,9,20,4,0,51,152,1,23.07,500.0,2.45,9.3,14.1,0
35.13,17,15,6,1,18,435,2,10.31,500.0,3.41,91.1,3.6,0
301.23,15,15,6,1,36,1043,0,11.93,500.0,25.25,17.7,4.0,0
5.35,4,12,5,1,31,68,1,10.0,500.0,0.53,12.4,4.7,0
6.99,2,15,6,1,33,52,6,14.01,500.0,0.5,6.6,26.8,0
127.04,12,1,1,0,44,566,4,10.0,500.0,12.7,4.6,14.8,0
19.18,14,2,6,1,39,227,7,18.79,500.0,1.02,1.9,18.2,0
68.81,9,1,2,0,49,70,4,23.55,500.0,2.92,35.7,28.4,0
3.02,16,12,1,0,46,114,2,10.0,500.0,0.3,10.6,38.9,0
1.27,19,22,2,0,33,145,1,10.0,500.0,0.13,3.6,14.9,0
1.48,0,0,5,1,33,306,3,10.0,500.0,0.15,21.1,25.4,0
7.55,16,4,3,0,28,983,2,15.11,500.0,0.5,18.9,20.3,0
49.51,16,2,1,0,32,346,1,10.0,500.0,4.95,13.5,24.7,0
27.53,16,18,6,1,49,1051,1,10.0,500.0,2.75,1.9,16.3,0
763.79,7,3,3,0,26,684,2,133.7,2171.63,5.71,2.6,9.7,0
7.19,9,12,5,1,60,16,4,10.0,500.0,0.72,38.8,27.0,0
127.75,1,21,4,0,23,147,2,10.0,500.0,12.78,2.9,9.1,0
19.66,18,12,4,0,55,1037,5,69.15,1043.87,0.28,1.6,3.4,0
17.48,6,4,2,0,33,1182,1,100.9,1760.47,0.17,8.4,19.5,0
1.9,13,4,5,1,62,255,1,10.0,500.0,0.19,6.0,28.8,0
511.92,6,23,1,0,54,330,2,10.0,500.0,51.19,20.4,43.3,0
190.66,9,1,2,0,46,2034,1,28.31,500.0,6.73,3.3,42.7,0
126.05,2,9,2,0,43,56,3,10.0,500.0,12.6,2.2,24.8,0
48.83,13,10,6,1,44,242,3,65.71,805.0,0.74,19.2,5.0,0
1.0,11,18,2,0,48,1183,4,10.0,500.0,0.1,27.0,34.9,0
69.56,13,22,6,1,41,617,2,56.46,701.82,1.23,7.9,11.3,0
19.37,19,0,2,0,34,905,2,10.0,500.0,1.94,22.7,11.1,0
55.76,10,5,6,1,52,59,3,31.81,500.0,1.75,11.4,43.0,0
135.16,3,5,6,1,26,75,2,77.64,1272.57,1.74,2.1,11.2,0
95.98,18,2,0,0,42,245,2,10.0,500.0,9.6,0.5,8.3,0
45.27,3,5,2,0,38,214,3,10.0,500.0,4.53,7.5,4.5,0
36.73,14,16,6,1,45,1348,2,52.27,619.81,0.7,2.9,28.9,0
14.89,1,13,1,0,55,327,0,10.75,500.0,1.39,2.5,25.0,0
5.32,14,6,1,0,39,43,4,10.0,500.0,0.53,13.7,9.6,0
16.67,1,0,5,1,32,881,2,17.33,500.0,0.96,2.5,5.1,0
1.1,16,23,4,0,61,19,2,37.24,500.0,0.03,0.8,21.8,0
3.66,5,21,2,0,53,229,0,10.0,500.0,0.37,7.7,18.2,0
16.59,15,0,0,0,58,13,4,10.0,500.0,1.66,0.5,26.2,0
1.0,11,0,0,0,51,381,3,14.71,500.0,0.07,2.5,25.7,0
1.15,3,1,1,0,32,650,4,10.0,500.0,0.12,46.2,11.8,0
2.71,4,22,5,1,35,706,7,10.0,500.0,0.27,8.0,9.0,0
14.84,15,8,1,0,32,53,2,10.0,500.0,1.48,27.5,22.6,0
48.97,5,8,1,0,53,203,2,10.0,500.0,4.9,35.7,31.4,0
16.06,17,1,0,0,26,135,0,10.0,500.0,1.61,1.2,10.1,0
2.99,12,0,2,0,47,242,2,10.0,500.0,0.3,12.7,35.2,0
49.67,5,15,0,0,45,1266,2,10.0,500.0,4.97,0.2,37.2,0
458.59,0,6,6,1,61,150,3,10.0,500.0,45.86,2.1,8.8,0
2.68,7,1,2,0,49,46,4,10.0,500.0,0.27,26.4,9.3,0
2.89,9,21,6,1,24,43,6,10.0,500.0,0.29,10.2,3.1,0
23.55,4,6,0,0,37,2,0,12.75,500.0,1.85,3.7,18.4,0
694.79,18,4,3,0,21,321,0,11.08,500.0,62.71,1.5,14.5,0
15.29,13,0,0,0,20,316,3,24.52,500.0,0.62,8.0,23.7,0
61.87,13,9,1,0,40,1,3,10.0,500.0,6.19,19.8,10.6,0
2.77,16,11,0,0,25,1122,4,26.81,500.0,0.1,6.1,12.3,0
80.4,7,15,0,0,32,311,1,15.34,500.0,5.24,4.0,16.3,0
114.59,2,8,2,0,42,506,1,19.12,500.0,5.99,24.5,23.5,0
7.21,7,12,2,0,41,550,5,12.13,500.0,0.59,36.1,6.7,0
1.83,10,9,4,0,36,1039,2,20.92,500.0,0.09,6.9,10.3,0
270.07,2,0,6,1,53,710,5,12.19,500.0,22.16,10.9,18.3,0
9.26,1,21,0,0,80,18,3,10.0,500.0,0.93,0.1,20.7,0
19.21,10,7,0,0,43,1320,3,25.4,500.0,0.76,20.8,6.6,0
15.68,5,11,5,1,62,35,3,10.0,500.0,1.57,11.4,15.6,0
17.31,3,4,2,0,41,123,5,39.92,500.0,0.43,31.2,22.8,0
14.79,1,9,3,0,54,31,3,10.0,500.0,1.48,2.9,19.5,0
21.67,16,15,3,0,59,31,2,38.08,500.0,0.57,34.0,11.3,0
7.03,18,4,5,1,48,762,2,10.0,500.0,0.7,2.7,18.8,0
12.95,15,18,4,0,59,95,2,18.05,500.0,0.72,4.4,58.7,0
45.64,6,2,6,1,39,55,3,13.07,500.0,3.49,34.9,34.3,0
18.35,19,11,5,1,58,413,1,22.99,500.0,0.8,35.4,10.5,0
41.03,0,13,2,0,51,665,3,10.18,500.0,4.03,0.8,19.4,0
37.27,6,1,4,0,74,1038,2,38.35,500.0,0.97,13.9,24.3,0
81.68,14,18,6,1,37,210,4,18.69,500.0,4.37,13.1,23.2,0
34.14,3,3,6,1,18,729,1,10.0,500.0,3.41,0.6,22.4,0
2.61,2,10,2,0,29,28,2,37.51,500.0,0.07,2.2,23.4,0
7.86,14,0,2,0,70,217,3,10.0,500.0,0.79,16.2,9.7,0
56.94,2,4,5,1,73,88,1,10.0,500.0,5.69,5.6,8.8,0
254.71,6,22,3,0,66,1181,1,10.0,500.0,25.47,2.2,31.3,0
38.68,14,20,5,1,33,84,4,23.85,500.0,1.62,2.0,3.8,0
31.07,14,8,4,0,67,797,0,10.0,500.0,3.11,2.0,35.7,0
3.62,1,2,0,0,35,227,0,13.09,500.0,0.28,3.2,3.0,0
5.01,11,7,0,0,31,134,0,24.52,500.0,0.2,6.2,13.9,0
32.27,9,11,1,0,47,50,3,27.51,500.0,1.17,2.6,7.0,0
1.21,18,11,1,0,37,271,0,10.0,500.0,0.12,7.3,16.7,0
546.75,18,5,6,1,74,154,3,10.0,500.0,54.68,4.6,10.2,0
277.05,15,12,1,0,28,906,1,17.05,500.0,16.25,2.4,12.6,0
49.46,1,5,0,0,50,520,2,10.0,500.0,4.95,0.2,26.0,0
47.09,1,0,3,0,37,689,0,10.0,500.0,4.71,2.9,14.1,0
474.94,12,6,1,0,24,49,2,15.71,500.0,30.23,5.2,16.2,0
179.11,9,12,2,0,46,56,0,10.0,500.0,17.91,16.5,12.3,0
25.77,10,5,3,0,43,359,3,10.0,500.0,2.58,1.4,14.1,0
31.19,19,15,2,0,40,604,3,24.28,500.0,1.28,5.4,23.6,0
96.95,14,7,4,0,43,955,3,10.0,500.0,9.7,8.4,19.5,0
66.79,14,17,5,1,49,417,2,73.08,857.25,0.91,8.6,15.3,0
26.42,18,12,2,0,49,510,1,33.75,500.0,0.78,0.9,26.4,0
406.87,13,2,1,0,46,38,1,27.04,539.93,15.05,5.4,14.7,0
2.27,3,0,5,1,35,148,2,10.0,500.0,0.23,48.6,20.5,0
26.45,9,14,3,0,65,290,2,10.0,500.0,2.64,4.6,29.0,0
88.68,10,18,5,1,37,241,0,10.0,500.0,8.87,1.0,8.8,0
1.32,5,2,1,0,57,413,3,47.15,599.83,0.03,16.8,33.8,0
10.36,10,12,0,0,46,1020,0,22.49,500.0,0.46,36.6,27.3,0
13.95,7,13,6,1,30,134,1,10.0,500.0,1.4,12.8,25.3,0
6.82,9,11,5,1,41,438,2,30.38,500.0,0.22,10.9,5.8,0
492.53,7,7,2,0,46,477,1,10.0,500.0,49.25,19.8,17.6,0
15.63,0,11,3,0,43,316,0,10.0,500.0,1.56,3.6,2.6,0
43.11,9,5,1,0,18,16,5,10.0,500.0,4.31,4.2,6.3,0
296.05,1,19,4,0,21,766,2,11.35,500.0,26.08,19.9,24.9,0
11.59,11,7,6,1,51,217,0,88.55,1129.21,0.13,25.4,8.6,0
23.9,12,4,6,1,46,622,3,10.0,500.0,2.39,14.4,14.1,0
2.3,4,10,2,0,27,240,3,10.0,500.0,0.23,8.4,20.6,0
1.76,14,8,6,1,52,1009,1,22.99,500.0,0.08,1.9,57.9,0
1.0,9,14,5,1,37,978,1,10.0,500.0,0.1,18.8,11.8,0
45.23,4,2,2,0,31,267,4,10.0,500.0,4.52,7.9,31.8,0
31.01,8,13,3,0,41,218,1,17.98,500.0,1.72,14.3,31.5,0
16.87,17,11,6,1,54,1049,1,31.11,562.18,0.54,0.9,45.7,0
10.22,15,10,4,0,52,174,7,20.64,500.0,0.5,5.9,18.9,0
1.78,15,0,0,0,41,769,1,41.05,656.13,0.04,13.7,4.6,0
6.12,0,18,6,1,44,151,3,14.88,500.0,0.41,22.4,39.7,0
1.72,16,0,1,0,38,991,3,10.0,500.0,0.17,0.4,42.7,0
95.52,16,19,3,0,23,59,0,15.32,500.0,6.23,15.9,28.8,0
5.82,16,16,1,0,62,205,3,10.0,500.0,0.58,8.7,35.5,0
117.76,4,10,1,0,38,27,6,18.4,500.0,6.4,18.7,23.1,0
44.97,2,10,4,0,28,8,3,10.0,500.0,4.5,4.9,22.7,0
63.32,1,15,3,0,45,189,1,13.45,500.0,4.71,4.5,20.7,0
17.83,10,15,1,0,49,106,1,10.0,500.0,1.78,41.0,8.7,0
48.2,17,1,0,0,45,266,1,23.31,500.0,2.07,32.1,12.7,0
5.77,1,20,0,0,46,65,0,10.0,500.0,0.58,31.3,12.7,0
4.31,5,2,0,0,34,214,3,10.0,500.0,0.43,62.9,21.5,0
18.71,19,1,0,0,28,65,3,10.0,500.0,1.87,36.0,8.5,0
29.31,11,14,5,1,47,383,0,10.0,500.0,2.93,36.3,23.1,0
21.12,16,18,5,1,37,24,2,31.01,500.0,0.68,12.9,2.4,0
6.11,15,0,6,1,37,179,4,27.21,500.0,0.22,16.5,34.6,0
20.33,11,0,3,0,30,91,0,10.0,500.0,2.03,4.1,10.5,0
113.47,17,18,4,0,45,749,2,28.46,500.0,3.99,19.8,26.6,0
8.78,8,1,0,0,59,112,1,12.4,500.0,0.71,1.2,14.9,0
6.61,1,6,4,0,41,541,1,10.0,500.0,0.66,16.4,23.3,0
136.1,4,14,2,0,63,387,1,69.69,637.33,1.95,9.2,10.4,0
56.24,3,6,4,0,61,223,3,28.03,500.0,2.01,6.2,18.0,0
1.61,19,17,4,0,67,387,2,10.0,500.0,0.16,7.0,24.4,0
9.98,19,3,1,0,40,131,3,26.68,500.0,0.37,13.2,19.3,0
67.49,2,6,5,1,22,141,0,10.0,500.0,6.75,27.3,21.0,0
189.95,4,20,0,0,39,64,2,18.62,500.0,10.2,4.9,8.9,0
3.84,16,5,4,0,18,986,2,18.38,500.0,0.21,1.4,14.8,0
6.57,4,11,5,1,58,121,1,78.77,931.51,0.08,7.9,20.7,0
8.21,1,6,0,0,58,455,1,10.0,500.0,0.82,17.7,40.8,0
3.32,15,21,3,0,55,51,3,10.0,500.0,0.33,0.9,3.2,0
187.85,9,1,4,0,38,73,1,10.0,500.0,18.78,2.1,28.1,0
6.12,3,12,0,0,28,52,3,44.72,593.51,0.14,3.8,23.2,0
4.19,6,7,0,0,47,1068,2,10.0,500.0,0.42,6.8,24.5,0
122.05,6,5,6,1,32,205,1,38.32,500.0,3.19,12.8,14.4,0
16.8,17,2,5,1,22,413,2,11.24,500.0,1.49,8.0,9.7,0
5.8,4,6,5,1,46,139,1,55.41,500.0,0.1,0.7,21.9,0
29.41,13,9,5,1,31,303,1,18.57,500.0,1.58,7.6,13.7,0
30.34,6,19,4,0,25,533,4,18.79,500.0,1.61,10.0,16.4,0
1.18,14,22,4,0,42,1025,3,10.0,500.0,0.12,13.7,2.4,0
8.97,13,14,1,0,52,148,1,10.0,500.0,0.9,9.9,19.6,0
32.51,9,8,6,1,50,208,1,10.0,500.0,3.25,0.5,5.0,0
18.88,11,21,2,0,58,237,2,45.19,500.0,0.42,27.9,33.0,0
21.13,18,9,4,0,58,163,3,26.45,500.0,0.8,11.3,28.4,0
42.96,10,4,2,0,51,366,0,50.27,660.49,0.85,0.6,35.1,0
25.23,2,21,2,0,29,89,2,15.51,500.0,1.63,14.8,19.5,0
6.93,18,15,6,1,22,48,1,17.57,500.0,0.39,71.4,25.5,0
48.2,9,18,4,0,33,248,3,14.58,500.0,3.31,2.7,17.0,0
146.61,14,11,4,0,35,1472,1,10.21,500.0,14.36,24.5,26.1,0
61.68,4,6,2,0,42,444,2,16.05,500.0,3.84,6.2,18.0,0
89.2,14,21,6,1,31,1084,4,35.03,500.0,2.55,31.0,20.8,0
5.29,12,7,4,0,48,450,3,10.0,500.0,0.53,4.8,4.5,0
13.76,4,9,4,0,62,207,2,57.58,843.1,0.24,15.5,7.3,0
17.15,11,10,4,0,52,508,2,11.02,500.0,1.56,15.2,30.2,0
10.28,3,6,4,0,30,147,2,15.05,500.0,0.68,8.5,19.1,0
291.91,6,18,6,1,48,328,0,10.0,500.0,29.19,10.3,5.1,0
7.04,4,17,3,0,42,244,0,185.24,1111.62,0.04,23.0,15.3,0
8.65,8,19,3,0,47,229,0,13.55,500.0,0.64,7.0,30.4,0
11.09,9,16,0,0,66,483,2,10.0,500.0,1.11,6.2,6.1,0
98.61,9,6,4,0,48,360,3,17.32,500.0,5.69,22.0,18.6,0
19.42,17,11,3,0,35,303,6,37.72,556.34,0.51,4.3,16.0,0
5.62,5,9,1,0,36,106,1,17.72,500.0,0.32,28.0,17.1,0
16.18,0,6,4,0,28,50,1,15.17,500.0,1.07,0.6,7.8,0
16.47,17,18,4,0,48,85,4,10.0,500.0,1.65,6.1,23.7,0
2.07,18,0,4,0,51,303,4,35.51,500.0,0.06,11.5,38.1,0
23.84,13,11,6,1,57,562,0,27.41,500.0,0.87,1.2,13.6,0
29.2,3,10,1,0,59,1,0,12.36,500.0,2.36,3.1,3.6,0
1.97,16,1,2,0,62,801,2,16.36,500.0,0.12,0.7,4.7,0
25.05,9,4,4,0,53,311,3,15.0,500.0,1.67,55.2,21.1,0
91.52,4,13,0,0,28,182,3,10.0,500.0,9.15,3.1,8.5,0
6.55,4,6,1,0,42,120,1,28.06,500.0,0.23,9.1,28.7,0
31.95,19,10,1,0,31,295,2,10.0,500.0,3.2,1.3,3.2,0
210.08,7,16,5,1,46,91,0,25.95,500.0,8.1,9.3,11.0,0
249.84,18,22,1,0,69,11,2,42.95,762.99,5.82,8.8,19.8,0
55.07,18,16,0,0,60,130,1,10.0,500.0,5.51,23.2,21.7,0
192.76,5,19,1,0,18,133,1,20.39,500.0,9.45,6.5,9.2,0
86.05,16,22,1,0,44,299,5,10.0,500.0,8.6,2.7,11.0,0
2.0,3,3,0,0,42,342,2,10.0,500.0,0.2,4.4,18.3,0
21.23,11,4,2,0,60,51,2,10.0,500.0,2.12,12.9,6.8,0
27.94,2,7,6,1,72,143,2,14.84,500.0,1.88,26.9,42.5,0
50.43,1,23,1,0,58,660,2,49.19,619.32,1.03,0.3,3.4,0
2.66,17,6,1,0,46,42,0,10.0,500.0,0.27,13.3,25.7,0
28.66,0,7,3,0,24,403,0,10.0,500.0,2.87,31.7,24.8,0
2.08,13,2,2,0,37,978,3,21.51,500.0,0.1,19.5,12.1,0
55.13,2,16,0,0,29,136,3,18.75,500.0,2.94,15.8,7.7,0
2.86,19,16,2,0,24,2601,2,10.0,500.0,0.29,17.2,11.9,0
2.12,3,17,4,0,42,248,5,10.0,500.0,0.21,11.8,29.7,0
5.35,19,6,4,0,43,70,0,10.0,500.0,0.53,20.7,22.9,0
5.03,4,21,6,1,39,122,2,13.92,500.0,0.36,2.0,13.4,0
3.49,7,10,4,0,33,484,2,22.51,500.0,0.16,10.8,4.5,0
36.53,14,21,2,0,50,277,3,23.93,500.0,1.53,1.6,13.5,0
34.94,6,19,6,1,44,194,2,25.53,500.0,1.37,55.9,18.0,0
14.05,11,2,0,0,49,9,2,47.32,505.62,0.3,28.8,14.0,0
13.79,17,21,5,1,36,134,1,12.38,500.0,1.11,16.0,15.6,0
1.72,11,20,1,0,20,93,1,10.0,500.0,0.17,0.3,22.8,0
23.24,9,6,4,0,34,161,2,16.41,500.0,1.42,25.4,26.2,0
31.62,4,2,2,0,49,255,4,27.97,500.0,1.13,6.9,25.7,0
26.99,17,7,4,0,32,384,4,10.0,500.0,2.7,7.0,39.4,0
11.38,13,11,0,0,18,897,3,10.0,500.0,1.14,36.5,15.5,0
131.01,9,19,2,0,66,1113,0,12.22,500.0,10.72,15.8,14.2,0
8.61,7,17,5,1,44,355,2,10.0,500.0,0.86,3.5,11.4,0
18.55,7,0,3,0,64,36,3,67.29,500.0,0.28,11.1,35.9,0
